在哪	情境	現在的字	現在字數	建議的字	建議字數	為什麼改
apps/admin/src/components/orders/result-banner.tsx:84	[error] manualOrderResultCode('denied')	你的登入已經過期。請重新登入之後再建一次。	19	登入過期了。重新登入之後再建一次。	15	「你的」對員工說話多餘;去掉不減意思。
apps/admin/src/components/orders/result-banner.tsx:90	[warn] manualOrderResultCode('invalid')	表單有欄位沒填好,這張單沒有建出來。請重新填一次,每一格都要填。	28	表單有欄位沒填,單沒建出來。請補齊每一格再送一次。	22	「沒填好」多一層猜測;「重新填一次」讀起來像要全部重打。
apps/admin/src/components/orders/result-banner.tsx:94	[warn] manualOrderResultCode('concurrent')	有另一個人同時在送這張單。請【再按一次送出】——不要重開表單。	25	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:102	[warn] manualOrderResultCode('mismatch')	這個編號可能已經建過一張單了,而內容不一樣。【先不要再按送出】——請去訂單列表找一下這位客人的單:有,就去那張單上改;沒有,再重開一張空白表單。	61	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:106	[error] manualOrderResultCode('exhausted')	系統現在產不出單號,已經通知維護。請稍後再試,不要重複按。	25	系統排不出單號,已通知維護。等一下再試,不要連按。	21	「產不出」不是台灣人講話;「重複按」→「連按」更短。
apps/admin/src/components/orders/result-banner.tsx:113	[error] manualOrderResultCode('bug')	這張單送出去之後系統回了看不懂的東西,它可能已經建好了。請先去訂單列表找一下這位客人的新單:有就不要再按;沒有請找人看一下,不要重複送。	62	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:117	[error] manualOrderResultCode('rejected')	這張單建不出來。請重新整理表單、確認客人與經手人都還在,再試一次。	29	這張單沒建出來。請重新整理表單,確認客人與經手人都還在,再試一次。	29	「建不出來」像永遠不行;「沒建出來」講的是這一次。
apps/admin/src/components/orders/result-banner.tsx:121	[error] manualOrderResultCode('error')	建單可能已經寫進去了,也可能沒有。請先去訂單列表找一下這位客人的新單:有就不要再按;沒有再送一次(編號不變,不會建成兩張)。	54	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:124	[ok] saved	已儲存變更。	5	已存好。	3	後台每次存檔都看得到它。「儲存變更」是翻譯腔,而「已存好」少 3 字、意思一樣。
apps/admin/src/components/orders/result-banner.tsx:125	[ok] noop	沒有變更(內容與原本相同)。	11	沒有變更(內容跟原本一樣)。	11	「相同」→「一樣」。
apps/admin/src/components/orders/result-banner.tsx:126	[warn] conflict	這張單在你編輯期間被改過了,已重新載入最新狀態,請確認後再存一次。	30	你在改的時候,這張單被別人改過了。畫面已經換成最新的,確認後再存一次。	31	「編輯期間」「重新載入最新狀態」兩個翻譯腔詞;拆兩句反而好懂。
apps/admin/src/components/orders/result-banner.tsx:127	[warn] invalid	表單內容不正確,未儲存。	10	表單有地方不對,沒有存進去。哪一格不對會標在旁邊。	22	🔴 補②:原句只說「不正確」而沒說去哪看。「未儲存」是書面語。
apps/admin/src/components/orders/result-banner.tsx:147	[ok] WALLET_DUPLICATE_RESULT_CODE	這筆已經處理過了,沒有重複扣款。	14	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:162	[ok] emailChangeResultCode('saved')	已改好登入信箱。舊訂單上的通知信箱不會跟著變(那是當時的紀錄)。	28	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:168	[warn] emailChangeResultCode('saved_audit_failed')	信箱已經改好了,但是這次的變更【沒有寫進稽核紀錄】。請告訴工程師這件事 —— 不要重按(重按不會補上紀錄)。	43	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:174	[ok] emailChangeResultCode('no_change')	後台這一欄本來就是這個信箱,沒有再改一次。	19	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:185	[error] emailChangeResultCode('denied')	改不了 —— 系統沒有讓這個動作通過。請先重新登入再試一次;還是不行請找管理者或工程師(不是你填錯東西)。	44	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:189	[warn] emailChangeResultCode('invalid')	沒有改到 —— 新的 Email 看起來不合格式(也不能用系統自己產的位址)。請重新打一次。	31	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:196	[warn] emailChangeResultCode('not_eligible')	這個客人的信箱不能從這裡改(LINE 登入、後台建立、或他是用 Google 之類的方式登入)。畫面上那一段灰字寫了是哪一種;先不要重試。	49	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:203	[warn] emailChangeResultCode('unreadable')	現在讀不到這個帳號的登入資料,所以這一發沒有動任何東西 —— 這不代表不能改。請重新整理再按一次;一直這樣請找工程師。	51	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:208	[warn] emailChangeResultCode('taken')	這個 Email 已經有另一個帳號在用了,所以沒有改。請先跟客人確認他是不是早就用這個信箱註冊過;是的話請用那個帳號,不要重試。	52	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:222	[error] emailChangeResultCode('auth_unknown')	這一發送出去之後系統回了看不懂的東西 ——【先不要再按】。客人的登入信箱可能已經改了,也可能沒有。請客人用【新信箱】試著登入一次:登得進去就是已經改好了(這時請找工程師把後台這一欄補上)。登不進去【不代表沒改到】(可能只是密碼錯或系統忙)—— 那一種請直接找工程師,不要自己再改一次。	119	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:226	[warn] emailChangeResultCode('not_found')	找不到這位客人(可能剛被移除),沒有改到任何東西。	21	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:233	[error] emailChangeResultCode('half_done')	客人的【登入信箱已經改好了】,但是後台這一欄還沒跟上。請用同一個信箱再按一次;還是不行請找工程師(可能是資料庫權限還沒開)。	54	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:233	[error] emailChangeResultCode('half_done_stuck')	客人的【登入信箱已經改好了】,而後台這一欄卡住了 ——【不要再按】。可能是這個信箱被另一位客人的資料占著,或者有人剛剛也改過同一位客人。請找工程師處理,並告訴他是哪一位客人。	74	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:244	[error] emailChangeResultCode('error')	改不了,而這不是你打錯 —— 系統這一側出了問題。請再試一次;連續失敗請找工程師。	33	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:254	[error] invoice_blocked	這張單建單時決定不開發票,所以不能填發票資料。要開請作廢重開;先不要重試。	33	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:257	[error] denied	沒有權限或登入狀態已失效,未儲存。	15	沒存進去 —— 可能沒權限,也可能登入過期了。先重新登入試一次;還是不行請找管理者。	34	🔴 補②:原句兩個原因都給了而沒有下一步。
apps/admin/src/components/orders/result-banner.tsx:258	[warn] not_found	找不到對象資料(可能已被移除),未儲存。	16	找不到這筆資料(可能剛被刪掉),沒有存進去。請重新整理看它還在不在。	29	🔴 補②。而「對象資料」是工程詞。
apps/admin/src/components/orders/result-banner.tsx:265	[warn] variant_sku_collision	沒有上架 —— 這支商品看起來是另一支商品的一個規格。請在上面那句話旁邊勾「我確認」再按一次;不確定的話先不要上架。	49	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:269	[error] variant_sku_check_unavailable	沒有上架 —— 現在查不到這支商品的規格資料,所以不敢讓它上架。請再按一次;還是不行就找人看一下,不要繞過去。	46	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:272	[error] error	儲存失敗,請稍後再試或聯絡系統維護。	16	沒存進去,而這不是你填錯 —— 系統這一側出問題。再試一次;連續失敗請找工程師。	32	🔴 原句沒分辨「我錯還是它錯」,而同一支檔別處已有這個講法,統一。
apps/admin/src/components/orders/result-banner.tsx:281	[warn] LISTING_NOOP_NOTE_DROPPED_RESULT_CODE	這件商品本來就是這個狀態,沒有變更。⚠️ 你打的變更原因【沒有被記錄】——原因只會跟著真正的變更一起存。	42	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:284	[ok] NOTE_ADDED_RESULT_CODE	備註已新增。	5	備註加好了。	5	「已新增」是系統口吻。
apps/admin/src/components/orders/result-banner.tsx:310	[ok] REFUND_SUBMITTED_RESULT_CODE	退款完成。客人入帳時間依照各家銀行而定。	18	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:317	[ok] MANUAL_REFUND_SUBMITTED_RESULT_CODE	已登記這筆退款。	7	退款登記好了。	6	同上。
apps/admin/src/components/orders/result-banner.tsx:327	[ok] MANUAL_REFUND_VOIDED_RESULT_CODE	已作廢這筆退款登記。這筆金額已回到這張單的可退餘額 —— 系統會當作它從來沒退過。	35	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:333	[ok] REFUND_MARKED_FAILED_RESULT_CODE	已標記失敗結案:對帳確認這筆退款的錢沒有動。若仍需退款,請回訂單頁重新發起。	34	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:337	[ok] REFUND_RECOVERED_RESULT_CODE	已恢復結案:這筆退款以 Portal 退款編號登記為完成,訂單付款狀態已同步。	28	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:345	[ok] CORRECTION_DONE_RESULT_CODE	已更正這筆退款的人工判定。舊的判定紀錄留著(它是「我們曾經判錯」的證據),而現在生效的是新的這一筆。	43	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:351	[warn] CORRECTION_DUPLICATE_RESULT_CODE	這一筆更正剛剛已經送出過了,系統沒有重複寫入。畫面上顯示的就是現況。	31	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:358	[warn] CORRECTION_STALE_RESULT_CODE	沒有改到 —— 這一筆的判定在你送出之前已經被人改過了。請重新整理看現在的判定是什麼,再決定要不要改。	44	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:362	[warn] CORRECTION_NOT_APPLICABLE_RESULT_CODE	這一筆不是「人工判定失敗」的列,這個入口改不了它。	21	這一筆不是「人工判定失敗」的紀錄,從這裡改不了它。	21	「的列」是資料庫詞;員工看到的是一筆紀錄。
apps/admin/src/components/orders/result-banner.tsx:366	[warn] CORRECTION_INVALID_RESULT_CODE	沒有送出 —— 填的內容不合規(理由必填、不能只有空白,且不超過 500 字)。改一下再送。	31	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:370	[error] CORRECTION_DENIED_RESULT_CODE	沒有權限做這個動作。	9	你沒有權限做這個動作。要做請找管理者開權限。	20	🔴 補②:原句句點結束,員工不知道找誰。
apps/admin/src/components/orders/result-banner.tsx:376	[error] CORRECTION_BUG_RESULT_CODE	沒有改到,而這不是你填錯 —— 系統這一側出了問題。請不要重試,直接聯絡工程師處理。	34	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:383	[ok] PROCUREMENT_CREATED_RESULT_CODE	已新增這筆採購。	7	採購加好了。	5	採購/到貨/收款/退款這四族語氣要一致。
apps/admin/src/components/orders/result-banner.tsx:384	[ok] PROCUREMENT_UPDATED_RESULT_CODE	已更新這筆採購。	7	採購改好了。	5	同上。
apps/admin/src/components/orders/result-banner.tsx:386	[ok] PROCUREMENT_NO_CHANGE_RESULT_CODE	沒有變更(送出的內容與目前的採購紀錄完全相同)。	21	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/result-banner.tsx:394	[ok] RECEIPT_RECORDED_RESULT_CODE	已登錄這筆到貨(溢收的件數不計入「到貨」欄)。	18	到貨記好了(溢收的件數不計入「到貨」欄)。	16	同上;括號那句是量法,留著。
apps/admin/src/components/orders/result-banner.tsx:400	[ok] RECEIPT_DUPLICATE_RESULT_CODE	這筆到貨先前已經登錄過了,沒有重複記帳。	18	這筆到貨先前登錄過了,沒有重複記帳。	16	「已經…了」重複。
apps/admin/src/components/orders/result-banner.tsx:408	[ok] PAYMENT_RECORDED_RESULT_CODE	已登錄這筆收款。	7	收款記好了。	5	同上。
apps/admin/src/components/orders/result-banner.tsx:410	[ok] PAYMENT_DUPLICATE_RESULT_CODE	這筆收款先前已經登錄過了,沒有重複入帳。	18	這筆收款先前登錄過了,沒有重複入帳。	16	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:70	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	沒有權限做這個動作(需要管理者),沒有登錄任何東西。	22	你沒有權限,要找管理者。這一次什麼都沒寫進去。	20	「做這個動作」是公文詞;而「沒有登錄任何東西」在這一族出現 4 次, 統一成「什麼都沒寫進去」更短更白。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:74	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	表單資料不完整,沒有登錄任何東西。	15	表單有欄位沒填,什麼都沒寫進去。	14	「資料不完整」是系統口吻;與 result-banner 的講法對齊。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:78	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	Email 格式不正確(或是系統產生的假信箱),沒有登錄任何東西。	23	這個 Email 不合格式(或者是系統自己產的假信箱),什麼都沒寫進去。	25	「格式不正確」→「不合格式」;句尾統一。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:82	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	找不到這張訂單,沒有登錄任何東西。	15	找不到這張訂單,什麼都沒寫進去。	14	句尾統一。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:86	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	這張單不是「刷卡且已全額退款」,不適用這個動作。	20	這張單不是「刷卡而且已經全額退款」,這顆鈕對它沒用。	22	「不適用這個動作」是公文詞。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:90	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	這張單還沒有取消,不適用這個動作。	15	這張單還沒取消,這顆鈕對它沒用。	14	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:102	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	這張單沒有人工退款紀錄,所以不是「混合退款」那一類,這顆鈕不適用。	28	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:103	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	⚠️ 而這【不表示】系統一定會自己寄 —— 自動寄還有別的條件(例如單上要有信箱)。	30	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
