在哪	情境	現在的字	現在字數	建議的字	建議字數	為什麼改
apps/admin/src/lib/orders/amount-action-state.ts:79		儲存失敗,這次沒有改到任何金額。請稍後再試一次;若持續失敗請聯絡系統維護。	33	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/amount-action-state.ts:126		無法修改金額,這次沒有改到任何資料。請確認訂單狀態與輸入金額;	28	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/amount-action-state.ts:127		若都沒問題或反覆出現,請找主管或系統維護。	19	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-action-state.ts:319	取消訂單之後的結果	沒有權限或登入已失效,取消沒有送出。	16	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-action-state.ts:320	取消訂單之後的結果	表單內容不正確,取消沒有送出。	13	表單有地方不對,取消沒有送出。哪一格不對會標在旁邊。	23	🔵 同上 —— Sean 第一批拍板過「表單內容不正確」→「表單有地方不對」, 這裡是另外 7 個副本;並補②(去哪看)。
apps/admin/src/lib/orders/cancel-action-state.ts:326	取消訂單之後的結果	這張單有貨在路上,取消沒有送出。請先確認那一格(我們不會自動通知新竹攔件,要攔請自己打電話給貨運)。	44	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-action-state.ts:328	取消訂單之後的結果	這張單目前不能取消(狀態可能剛變動)。請重新整理本單確認後再決定,不要重複按。	34	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-action-state.ts:333	取消訂單之後的結果	系統狀態異常,取消可能已經寫進去了。請重新整理確認,並通知系統維護,不要重複按。	35	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-action-state.ts:334	取消訂單之後的結果	系統忙碌,這次沒完成。請重新整理本單確認後再送一次。	23	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-action-state.ts:335	取消訂單之後的結果	取消可能已經寫進去了。請重新整理本單確認之後再決定要不要重送。	29	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-actions.ts:234		[admin/orders/cancel] 出貨狀態讀取失敗(當成「讀不到」⇒ 擋一次, 勾了可過)	20	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/cancel-actions.ts:383		款項已全額退還,收尾把訂單標記為取消	17	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:112	人工寄取消通知的動作結果	後台登錄人工寄出取消通知:收件人 ${recipientEmail}	15	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:117	人工寄取消通知的動作結果	[admin/orders] 稽核寫入失敗(這張單【沒有】被登錄)	14	不改		🔴 判準④:這句帶專有詞(稽核)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:151	人工寄取消通知的動作結果	[admin/orders] record_manual_cancel_notice 失敗(稽核已留下一筆)	9	不改		🔴 判準④:這句帶專有詞(稽核)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:172	人工寄取消通知的動作結果	[admin/orders] record_manual_cancel_notice 回了我不認得的碼	8	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:244	人工寄取消通知的動作結果	寫這一筆的當下還沒有撤;結果看第二筆 _revoked	17	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:245	人工寄取消通知的動作結果	後台撤銷「已人工寄出取消通知」的登錄:按下按鈕	20	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:250	人工寄取消通知的動作結果	[admin/orders] 撤銷登錄的稽核寫入失敗(這張單【沒有】被撤銷)	19	不改		🔴 判準④:這句帶專有詞(稽核)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:272	人工寄取消通知的動作結果	[admin/orders] revoke_manual_cancel_notice 失敗(稽核已留下一筆)	9	不改		🔴 判準④:這句帶專有詞(稽核)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:287	人工寄取消通知的動作結果	[admin/orders] revoke_manual_cancel_notice 回了我不認得的碼	8	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:311	人工寄取消通知的動作結果	後台撤銷「已人工寄出取消通知」的登錄:已刪除那一列	22	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:316	人工寄取消通知的動作結果	[admin/orders] 撤銷【已經完成】而第二筆稽核寫入失敗(不回滾)	19	不改		🔴 判準④:這句帶專有詞(稽核)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:408	人工寄取消通知的動作結果	後台標記「已電話通知」:這張單沒有信箱, 客服用電話通知客人	25	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-cancel-notice-actions.ts:413	人工寄取消通知的動作結果	[admin/orders] 電話通知標記的稽核寫入失敗(這張單【沒有】被標記)	21	不改		🔴 判準④:這句帶專有詞(稽核)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/manual-order-actions.ts:144		(訊息可能含客人資料,不記;看 sqlstate)	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-order-catalog-actions.ts:76		沒有權限查商品,請重新登入或找人開權限。	18	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/manual-order-catalog-actions.ts:84		商品查詢失敗,請通知維護。這不是料號打錯。	18	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:105	新增備註之後的結果	備註類型不正確,請重新選擇。	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:106	新增備註之後的結果	聯絡管道不正確,請重新選擇。	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:110	新增備註之後的結果	「客人聯繫」必須填聯絡管道與聯絡時間。	16	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:111	新增備註之後的結果	內部備註不能填聯絡管道與聯絡時間(那兩欄留給「客人聯繫」)。	25	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:112	新增備註之後的結果	聯絡時間超出合理範圍,請確認年份。	15	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:113	新增備註之後的結果	聯絡時間不能填未來的時間。	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:114	新增備註之後的結果	備註內容不能空白,請填寫實際內容。	15	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
