# rule-ledger.tsv — 被校正過的規範,一條一列。跑 `sh scripts/rule-audit.sh` 稽核。
#
# 🔴 這張表要治的病(Sean 2026-08-18 逐字:「我要可以自動迭代的優化方式」):
#   規則寫進去了,而【沒有人回頭看它還在不在】。
#   · 有人校正一條規範 ⇒ 多一列 ⇒ 表自己長大
#   · 每次稽核 ⇒ 把【所有過去的規則】重驗一次 ⇒ 舊規則死掉會被抓到
#   📎 病例:一份 memory 在寫下的【當天】就過期(#484a),而它讓一整條已完成的線
#      被當成「還卡著 Sean」—— **零機械訊號**。
#
# 🔴 pattern 欄是這張表的靈魂:它要能機械回答「這條規則現在還活著嗎」。
#   **填不出 pattern 的那一列 = 一條還沒真的落地的規則** —— 那本身就是發現。
#
# 🔴🔴 已知會發生、而本表【抓不到】的一種病(2026-08-18 主視窗補;不是理論缺口):
#   規則寫進 runbook 正本了,而它**落在 `STANDING-ACTIONS` 區塊外** ⇒
#   `window-standing-actions.sh` 印不出來 ⇒ **窗讀不到**,而本表照樣是綠的
#   (本表驗的是【來源檔】,不是【窗看到的視圖】)。
#   📎 **今天真的發生過**:G6 改的是 runbook 正本,而那幾條當天生效靠的是主視窗廣播,不是那支腳本。
#   ⇒ 要抓它得比對「視圖輸出」而那需要 eval ⇒ **本表刻意不做,明寫在這裡。**
#
# 🔴 射程(不要放大):它驗的是【那段字面還在那個檔裡】,
#   **不驗任何人有沒有照做**。規則被刪掉/被改寫會紅;規則還在而全隊都無視,它是綠的。
#
# 🔴🔴 這張表驗的是「那條規則**還是現行的**」,不是「那段字面還在」(2026-08-18 GR 逼問後拍板)
#   理由:本艦隊慣例是**劃線留痕、不刪字** ⇒ 若只驗字面,**被廢止的規則會永遠綠**
#   ⇒ **越守規矩留痕,這張表越假。**
#   實作:命中的行【全部】都在 `~~` 劃線裡 ⇒ 判為訃聞、**紅**。
#   ⚠️ 只認得 `~~` 這一種訃聞形狀 —— 而 2026-08-18 主視窗裁准把它【變成契約】:
#      **廢止一條規則必須用 `~~` 劃線形**(見 R015)。
#      📌 GR 的判準(採用):散文式廢止是【立法問題】,不是【量具問題】。
#      ⇒ 天花板從「這支工具抓不到」變成「那樣寫是違規」。
#   🔴 判定方式是【把 `~~…~~` 拿掉之後 pattern 還在不在】,不是「整行含不含 ~~」——
#      一行更正常常同時含劃線舊句與現行新句,用整行判會誤判成訃聞,
#      而**三週後第一顆這種紅會被當成真廢止**。(GR 2026-08-18 抓到的反向假紅面。)
#
# 🔴 `expect` 欄只認 `>=1`/`==0`,其他值一律紅 —— **那道哨兵不是保險,是唯一擋得住欄位位移的東西。**
#   理由(GR 補的拼圖):空欄被 IFS 併掉之後,位移出來的 `pat` 會不會命中是**內容依賴**的
#   ⇒ 兩種病症(真的沒命中 / 欄位位移)**零共同訊號**,只有這道哨兵分得開。
#
# 🔴 **這次跑出 0 紅【不是好消息,是樣本的性質】** ——
#   這些規則幾小時前才落檔,字面當然都還在。**這張表的價值在三週後跑**,那時才會有東西紅。
#   📎 這句話原本只活在我給主視窗的信裡、沒有落進產物 ——
#      **那正是這張表要治的那條病,發生在【專門為了治那條病而做的工具】上。**
#      (GR 2026-08-18 點名;主視窗裁:不當失誤,當這張表存在的最好證據。)
#
# 🔴 `#!rows=N` 是給稽核對帳用的,**改動列數要同步改它** ——
#   沒有它,一張被清空的表會印「綠 0 / 紅 0」然後 rc=0,**死掉的樣子跟全過的樣子一模一樣**。
#!rows=19
#
# 🔴 本表【只驗字面】,不跑任何命令(不引入 eval)。**覆蓋率型的檢查住在自己的腳本裡** ——
#   現有兩支:`scripts/authz-failure-visibility.sh`(授權被擋時員工看不看得見)
#            `scripts/migration-reset-role-guard.sh`(migration 不要用 RESET ROLE)
#   🔴 **每支都要配一支 fixture 正向對照**(`scripts/fixtures/`)——
#      期望值走到 0/1 這種小數字時,「pattern 打錯永遠回 0」與「真的沒有」長得一樣
#      ⇒ **沒有 fixture 的話,它從量測變成祈禱**(G2 提)。
#   ⇒ **R016 驗的是「那支檢查器還在、而且還宣告著同一個期望值」,不是「覆蓋率還是那樣」。**
#   🔴 要知道覆蓋率有沒有變,**必須自己跑那支腳本** —— 本表全綠**不代表**覆蓋率沒變。
#   ⇒ 開工三件的第 1 件之後,兩支都要跑:`sh scripts/rule-audit.sh` 與那支覆蓋率腳本。
#
# 欄:id / 規則一句話 / 落點檔 / pattern(grep -F 固定字串) / expect(>=1 或 ==0) / 立法日 / 病例來源
id	rule	file	pattern	expect	since	source
R001	要發 backlog 號跑 claim-backlog-number.sh(舊那兩道看不到別人正在寫的號)	docs/runbooks/multi-window-command-workflow.md	claim-backlog-number.sh	>=1	2026-08-18	G2 與 G5 同時拿到 #644,merge 才發現
R002	開瀏覽器驗東西用 localhost 不用 127.0.0.1(127 讓 client JS 靜靜不見)	docs/runbooks/multi-window-command-workflow.md	不要 `http://127.0.0.1	>=1	2026-08-18	W2 卡一整輪購物車;G2 繞六輪
R003	要推的時候推【指定 sha】,不是推 tip	docs/runbooks/multi-window-command-workflow.md	要推的時候推【指定 sha】	>=1	2026-08-18	主視窗發凍結令,Sean 一問就撤回
R004	檔頭與信頭的時戳用 date 實跑值,不寫近似值	docs/runbooks/multi-window-command-workflow.md	一律用 `date` 的實跑值	>=1	2026-08-18	GR 抓到主視窗三封信時戳互相矛盾
R005	發過急件的人負責發【解除】	docs/runbooks/multi-window-command-workflow.md	負責發【解除】	>=1	2026-08-18	急件前提 6 分鐘後消失而沒有人解除
R006	commit 帶 pathspec;而新檔要先逐一 git add(pathspec 對 untracked 無效)	docs/runbooks/multi-window-command-workflow.md	新檔要先逐一	>=1	2026-08-18	G1 撞到 did not match any file known to git
R007	git add 之前先 git diff --stat —— 它給的是【停下來問人】的訊號,不是答案(它答不出那幾行是誰的)	docs/runbooks/multi-window-command-workflow.md	之前先 `git diff --stat	>=1	2026-08-18	同日三例歸屬錯亂(內容沒掉)
R008	前置檢查與被保護動作之間有別人可以動手的空隙 ⇒ 那是儀式不是機制	docs/patterns/guard-and-instrument-traps.md	我自己發明的前置檢查	>=1	2026-08-18	G1 的 merge 交集檢查,一分鐘內失效兩次
R009	push-and-announce 的 deploy_status 已對真 vercel CLI 實測(不再整支標零實測)	scripts/push-and-announce.sh	這一半【已經對真的 vercel CLI 實測過】	>=1	2026-08-18	該標籤蓋住兩件事而其中一件已經變了
R010	push-and-announce 推的是被綠涵蓋的那顆,不是 tip	scripts/push-and-announce.sh	推【被驗過的那一顆】,不是推 tip	>=1	2026-08-18	同 R003,寫在推的人當下會讀的那支檔
R011	push-and-announce 的 --selftest 有六個世界(含零 migration 不印假警報)	scripts/push-and-announce.sh	六個世界都對	>=1	2026-08-18	主視窗抓到信裡一句無條件印的警告
R012	四綠腳本把 TURBO_FORCE=1 寫死(不然 turbo 會 replay 舊的綠)	scripts/dev-four-greens.sh	TURBO_FORCE=1	>=1	2026-08-17	#524:真跑與 replay 的 Cached 行完全相同
R013	guard-traps 不得殘留 merge 衝突標記	docs/patterns/guard-and-instrument-traps.md	<<<<<<< HEAD	==0	2026-08-18	G1 與 G2 同日在該檔結尾各 append 一條而撞車
R014	共用主樹上 git add 與 git commit 之間不該有任何一步	docs/runbooks/multi-window-command-workflow.md	之間不該有任何一步	>=1	2026-08-18	G6 的 add 生效而 commit 被 merge 擋下,東西躺進別人索引
R015	廢止一條規則必須用 ~~ 劃線形,不可以只用散文寫「本條作廢」	docs/ops/rule-ledger.tsv	廢止一條規則必須用 `~~` 劃線形	>=1	2026-08-18	GR 指出散文式廢止是立法問題不是量具問題;主視窗裁准立為契約
R016	授權被擋時員工要看得見(不是裸 redirect);覆蓋率檢查器要在、且期望值仍寫死	scripts/authz-failure-visibility.sh	EXPECT_BARE=0	>=1	2026-08-18	G6 量出 28 呼叫點/裸 redirect 2;主視窗指示先只做這一個形狀不推廣
R017	migration 檔不要用 RESET ROLE(用 SET LOCAL ROLE);守門要在且期望值仍寫死	scripts/migration-reset-role-guard.sh	EXPECT_FILES=1	>=1	2026-08-18	G6 查明 #628 因果鏈:NOINHERIT 登入角色 + RESET ROLE ⇒ SQL 生效而帳本沒記
R018	改檔不可寫 io.open(p,'w').write(io.open(p).read()...) —— 它先截斷成 0 且 rc=0 不報錯	docs/patterns/guard-and-instrument-traps.md	那一步就把檔案截斷成 0	>=1	2026-08-18	G3 一封信箱 STOP 被清成 0 bytes;信箱不在 git 裡救不回來
R019	報告寫完的下一個動作是送出去(SendMessage)不是按 enter;判別句=那段字收訊者是誰。🔴 射程=施工窗——主視窗對 Sean 的終端輸出本來就是收訊者正確	docs/runbooks/multi-window-command-workflow.md	收訊者是誰	>=1	2026-08-18	G1 靜 23.1 分 / G4 靜 27.8 分,兩個窗都寫了完整報告而沒送出來
